Date, KeyWestMSL+SC_NAVD,VacaKeyMSL+SC_NAVD, VirginiaKeyMSL+SC_NAVD,MeanMSL+SC_NAVD,Anomaly_m_2008_2015_MSL
2006-04-15,-0.252,-0.224,-0.247,-0.241,-0.093
2006-05-15,-0.213,-0.182,-0.214,-0.203,-0.055
2006-06-15,-0.278,-0.284,-0.327,-0.296333333333333,-0.148333333333333
2006-07-15,-0.308,-0.288,-0.293,-0.296333333333333,-0.148333333333333
2006-08-15,-0.204,-0.187,-0.249,-0.213333333333333,-0.065333333333333
2006-09-15,-0.164,-0.147,-0.169,-0.16,-0.012
2006-10-15,-0.095,-0.081,-0.083,-0.0863333333333333,0.0616666666666667
2006-11-15,-0.182,-0.164,-0.166,-0.170666666666667,-0.022666666666667
2006-12-15,-0.247,-0.256,-0.258,-0.253666666666667,-0.105666666666667
2007-01-15,-0.276,-0.287,-0.289,-0.284,-0.136
2007-02-15,-0.354,-0.322,-0.324,-0.333333333333333,-0.185333333333333
2007-03-15,-0.298,-0.285,-0.296,-0.293,-0.145
2007-04-15,-0.289,-0.266,-0.271,-0.275333333333333,-0.127333333333333
2007-05-15,-0.126,-0.13,-0.113,-0.123,0.025
2007-06-15,-0.2,-0.171,-0.189,-0.186666666666667,-0.038666666666667
2007-07-15,-0.226,-0.2,-0.219,-0.215,-0.067
2007-08-15,-0.204,-0.186,-0.217,-0.202333333333333,-0.054333333333333
2007-09-15,-0.117,-0.09,-0.107,-0.104666666666667,0.043333333333333
2007-10-15,-0.059,-0.048,-0.047,-0.0513333333333333,0.0966666666666667
2007-11-15,-0.151,-0.14,-0.139,-0.143333333333333,0.00466666666666699
2007-12-15,-0.305,-0.287,-0.286,-0.292666666666667,-0.144666666666667
2008-01-15,-0.276,-0.248,-0.263,-0.262333333333333,-0.114333333333333
2008-02-15,-0.365,-0.334,-0.39,-0.363,-0.215
2008-03-15,-0.382,-0.368,-0.37,-0.373333333333333,-0.225333333333333
2008-04-15,-0.234,-0.209,-0.204,-0.215666666666667,-0.067666666666667
2008-05-15,-0.246,-0.217,-0.254,-0.239,-0.091
2008-06-15,-0.271,-0.247,-0.304,-0.274,-0.126
2008-07-15,-0.161,-0.139,-0.197,-0.165666666666667,-0.017666666666667
2008-08-15,-0.131,-0.107,-0.182,-0.14,0.00799999999999998
2008-09-15,0.024,0.032,0.028,0.028,0.176
2008-10-15,-0.054,-0.036,-0.038,-0.0426666666666667,0.105333333333333
2008-11-15,-0.156,-0.11,-0.135,-0.133666666666667,0.014333333333333
2008-12-15,-0.31,-0.287,-0.336,-0.311,-0.163
2009-01-15,-0.418,-0.366,-0.414,-0.399333333333333,-0.251333333333333
2009-02-15,-0.412,-0.366,-0.394,-0.390666666666667,-0.242666666666667
2009-03-15,-0.287,-0.268,-0.286,-0.280333333333333,-0.132333333333333
2009-04-15,-0.304,-0.3,-0.335,-0.313,-0.165
2009-05-15,-0.25,-0.238,-0.264,-0.250666666666667,-0.102666666666667
2009-06-15,-0.226,-0.179,-0.19,-0.198333333333333,-0.050333333333333
2009-07-15,-0.276,-0.238,-0.279,-0.264333333333333,-0.116333333333333
2009-08-15,-0.152,-0.13,-0.214,-0.165333333333333,-0.017333333333333
2009-09-15,-0.015,0.003,-0.031,-0.0143333333333333,0.133666666666667
2009-10-15,-0.068,-0.055,-0.082,-0.0683333333333333,0.0796666666666667
2092-11-15,-0.079,-0.041,-0.034,-0.0513333333333333,0.0966666666666667
2009-12-15,-0.171,-0.134,-0.158,-0.154333333333333,-0.00633333333333302
2010-01-15,-0.28,-0.238,-0.28,-0.266,-0.118
2010-02-15,-0.281,-0.222,-0.245,-0.249333333333333,-0.101333333333333
2010-03-15,-0.35,-0.282,-0.305,-0.312333333333333,-0.164333333333333
2010-04-15,-0.304,-0.268,-0.291,-0.287666666666667,-0.139666666666667
2010-05-15,-0.282,-0.255,-0.27,-0.269,-0.121
2010-06-15,-0.221,-0.196,-0.242,-0.219666666666667,-0.071666666666667
2010-07-15,-0.222,-0.186,-0.241,-0.216333333333333,-0.068333333333333
2010-08-15,-0.17,-0.144,-0.233,-0.182333333333333,-0.034333333333333
2010-09-15,-0.047,-0.023,-0.094,-0.0546666666666667,0.0933333333333333
2010-10-15,-0.12,-0.079,-0.13,-0.109666666666667,0.038333333333333
2010-11-15,-0.165,-0.137,-0.165,-0.155666666666667,-0.00766666666666702
2010-12-15,-0.279,-0.226,-0.27,-0.258333333333333,-0.110333333333333
2011-01-15,-0.36,-0.31,-0.379,-0.349666666666667,-0.201666666666667
2011-02-15,-0.406,-0.36,-0.387,-0.384333333333333,-0.236333333333333
2011-03-15,-0.358,-0.316,-0.339,-0.337666666666667,-0.189666666666667
2011-04-15,-0.318,-0.295,-0.323,-0.312,-0.164
2011-05-15,-0.279,-0.253,-0.281,-0.271,-0.123
2011-06-15,-0.205,-0.188,-0.236,-0.209666666666667,-0.061666666666667
2011-07-15,-0.197,-0.164,-0.243,-0.201333333333333,-0.053333333333333
2011-08-15,-0.135,-0.095,-0.155,-0.128333333333333,0.019666666666667
2011-09-15,-0.112,-0.088,-0.135,-0.111666666666667,0.036333333333333
2011-10-15,-0.098,-0.081,-0.092,-0.0903333333333333,0.0576666666666667
2011-11-15,-0.117,-0.089,-0.092,-0.0993333333333333,0.0486666666666667
2011-12-15,-0.207,-0.176,-0.215,-0.199333333333333,-0.051333333333333
2012-01-15,-0.307,-0.285,-0.339,-0.310333333333333,-0.162333333333333
2012-02-15,-0.24,-0.221,-0.223,-0.228,-0.08
2012-03-15,-0.231,-0.23,-0.258,-0.239666666666667,-0.091666666666667
2012-04-15,-0.226,-0.211,-0.223,-0.22,-0.072
2012-05-15,-0.191,-0.168,-0.181,-0.18,-0.032
2012-06-15,-0.152,-0.121,-0.132,-0.135,0.013
2012-07-15,-0.197,-0.168,-0.205,-0.19,-0.042
2012-08-15,-0.173,-0.147,-0.182,-0.167333333333333,-0.019333333333333
2012-09-15,-0.208,-0.166,-0.174,-0.182666666666667,-0.034666666666667
2012-10-15,-0.119,-0.056,-0.074,-0.083,0.065
2012-11-15,-0.045,-0.007,-0.003,-0.0183333333333333,0.129666666666667
2012-12-15,-0.159,-0.134,-0.171,-0.154666666666667,-0.00666666666666702
2013-01-15,-0.229,-0.214,-0.236,-0.226333333333333,-0.078333333333333
2013-02-15,-0.249,-0.223,-0.254,-0.242,-0.094
2013-03-15,-0.233,-0.187,-0.195,-0.205,-0.057
2013-04-15,-0.257,-0.243,-0.252,-0.250666666666667,-0.102666666666667
2013-05-15,-0.211,-0.182,-0.183,-0.192,-0.044
2013-06-15,-0.229,-0.226,-0.27,-0.241666666666667,-0.093666666666667
2013-07-15,-0.172,-0.157,-0.189,-0.172666666666667,-0.024666666666667
2013-08-15,-0.159,-0.147,-0.2,-0.168666666666667,-0.020666666666667
2013-09-15,-0.09,-0.074,-0.096,-0.0866666666666667,0.0613333333333333
2013-10-15,-0.047,-0.019,-0.019,-0.0283333333333333,0.119666666666667
2013-11-15,-0.077,-0.044,-0.061,-0.0606666666666667,0.0873333333333333
2013-12-15,-0.173,-0.146,-0.181,-0.166666666666667,-0.018666666666667
2014-01-15,-0.222,-0.178,-0.203,-0.201,-0.053
2014-02-15,-0.215,-0.174,-0.179,-0.189333333333333,-0.041333333333333
2014-03-15,-0.256,-0.207,-0.212,-0.225,-0.077
2014-04-15,-0.24,-0.207,-0.191,-0.212666666666667,-0.064666666666667
2014-05-15,-0.171,-0.168,-0.176,-0.171666666666667,-0.023666666666667
2014-06-15,-0.232,-0.206,-0.228,-0.222,-0.074
2014-07-15,-0.191,-0.156,-0.221,-0.189333333333333,-0.041333333333333
2014-08-15,-0.111,-0.088,-0.12,-0.106333333333333,0.041666666666667
2014-09-15,-0.079,-0.055,-0.092,-0.0753333333333333,0.0726666666666667
2014-10-15,-0.059,-0.03,-0.061,-0.05,0.098
2014-11-15,-0.083,-0.045,-0.056,-0.0613333333333333,0.0866666666666667
2014-12-15,-0.12,-0.064,-0.093,-0.0923333333333333,0.0556666666666667
2015-01-15,-0.22,-0.165,-0.182,-0.189,-0.041
2010-02-15,-0.209,-0.164,-0.168,-0.180333333333333,-0.032333333333333
2015-03-15,-0.274,-0.242,-0.264,-0.26,-0.112
2015-04-15,-0.218,-0.192,-0.232,-0.214,-0.066
2015-05-15,-0.177,-0.156,-0.204,-0.179,-0.031
2015-06-15,-0.223,-0.191,-0.277,-0.230333333333333,-0.082333333333333
2015-07-15,-0.192,-0.144,-0.241,-0.192333333333333,-0.044333333333333
2015-08-15,-0.103,-0.062,-0.145,-0.103333333333333,0.044666666666667
2015-09-15,-0.044,-0.01,-0.081,-0.045,0.103
2015-10-15,0.068,0.105,0.091,0.088,0.236
2015-11-15,-0.063,-0.039,-0.06,-0.054,0.094
2015-12-15,-0.106,-0.072,-0.098,-0.092,0.056
